Time [s],Value,Parity Error,Framing Error
2.489445500,0x000,,
2.490554700,0x000,,
2.491672900,0x042,,Error
2.492808300,0x020,,Error
2.493987200,0x080,,Error
2.495114000,0x020,,Error
2.496318800,0x000,,Error
2.497489000,0x001,,Error
2.498607100,0x020,,Error
2.499820600,0x042,,Error
2.500956100,0x008,,Error
2.502169600,0x1F0,,
2.817746700,0x000,,Error
2.818933900,0x040,,Error
2.820156000,0x028,,Error
2.821274200,0x001,,Error
2.822401100,0x000,,Error
2.823536500,0x101,,Error
2.824663400,0x1A9,,
49.096348500,0x1FF,,
59.352830800,0x100,,
59.457853200,0x000,,
59.458997200,0x100,,
59.568843400,0x100,,
59.697841200,0x100,,
59.782834300,0x100,,
59.887850200,0x100,,
59.992846600,0x100,,
60.097888600,0x100,,
60.202885000,0x100,,
60.307900900,0x100,,
60.412903800,0x100,,
60.517906700,0x100,,
60.622916100,0x100,,
60.727932100,0x100,,
60.832935000,0x100,,
60.937957400,0x100,,
61.043012300,0x100,,
61.147956700,0x100,,
61.278014200,0x100,,
61.362961700,0x100,,
61.468140200,0x100,,
61.572993600,0x100,,
61.677990000,0x100,,
61.782999400,0x100,,
61.888002300,0x100,,
61.993044300,0x100,,
62.098014600,0x000,,
62.099158700,0x100,,
62.233812400,0x001,,
62.234956400,0x003,,
62.236100600,0x019,,
62.237244800,0x078,,
62.238389000,0x001,,
62.239533100,0x002,,
62.240677300,0x05A,,
62.241821400,0x00D,,
62.242965600,0x1FF,,
62.313780300,0x100,,
62.452516500,0x100,,
62.518110800,0x009,,
62.519254900,0x043,,
62.520399000,0x043,,
62.521543200,0x056,,
62.522687300,0x030,,
62.523831500,0x031,,
62.524975600,0x037,,
62.526119800,0x037,,
62.527264000,0x038,,
62.528408100,0x035,,
62.529552300,0x035,,
62.530696400,0x030,,
62.531840600,0x000,,
62.532984800,0x000,,
62.534129000,0x000,,
62.535273100,0x000,,
62.536417300,0x049,,
62.537561400,0x04D,,
62.538705600,0x033,,
62.539849700,0x030,,
62.540993900,0x000,,
62.542138100,0x000,,
62.543282300,0x000,,
62.544426400,0x000,,
62.545570600,0x000,,
62.546714700,0x000,,
62.547858900,0x000,,
62.549003000,0x000,,
62.550147300,0x023,,
62.551291400,0x008,,
62.552435600,0x000,,
62.553579700,0x000,,
62.554723900,0x000,,
62.555868000,0x027,,
62.557012200,0x1D1,,
62.623042200,0x100,,
62.729228300,0x100,,
62.833113000,0x100,,
63.039998500,0x100,,
63.243217300,0x100,,
63.448191400,0x100,,
63.653211100,0x100,,
63.863236400,0x100,,
64.068223500,0x100,,
64.273360100,0x100,,
64.478288700,0x100,,
64.683288800,0x100,,
64.893301100,0x100,,
65.098320700,0x100,,
65.303346900,0x100,,
65.508386000,0x100,,
65.713379600,0x100,,
65.918366700,0x100,,
66.123386400,0x100,,
66.356171400,0x100,,
66.538424700,0x100,,
66.743424900,0x100,,
66.948451000,0x100,,
67.153477100,0x100,,
67.383557800,0x100,,
67.568489500,0x100,,
67.773528700,0x100,,
67.978509200,0x100,,
68.183515900,0x100,,
68.388535500,0x100,,
68.593626600,0x100,,
68.798659200,0x100,,
69.008671600,0x100,,
69.213697600,0x100,,
69.418717200,0x100,,
69.623736900,0x100,,
69.828737000,0x100,,
70.038742800,0x100,,
70.243781900,0x100,,
70.448762500,0x100,,
70.653762600,0x100,,
70.858821300,0x100,,
71.063821400,0x100,,
71.268815000,0x100,,
71.498804600,0x100,,
71.683853400,0x100,,
71.888873000,0x100,,
72.093873100,0x100,,
72.298892700,0x100,,
72.528940900,0x100,,
72.713963600,0x100,,
72.918937800,0x100,,
73.123950900,0x100,,
73.328977000,0x100,,
73.534016100,0x100,,
73.739009700,0x100,,
73.944009800,0x100,,
74.154015600,0x100,,
74.359418800,0x100,,
74.564171900,0x100,,
74.769159000,0x100,,
74.974178600,0x100,,
75.184255900,0x100,,
75.389490000,0x100,,
75.594217100,0x100,,
75.799223700,0x100,,
76.004243300,0x100,,
76.209256400,0x100,,
76.414263000,0x100,,
76.644285200,0x100,,
76.829301500,0x100,,
77.034340600,0x100,,
77.239314700,0x100,,
77.444321300,0x100,,
77.674356500,0x100,,
77.964375700,0x100,,
78.169707300,0x100,,
78.374401800,0x100,,
78.579603500,0x100,,
78.784421600,0x100,,
78.989720700,0x100,,
79.219437300,0x100,,
79.404460100,0x100,,
79.609479700,0x100,,
79.814557900,0x100,,
80.019505900,0x100,,
80.249495600,0x100,,
80.434661400,0x100,,
80.639661500,0x100,,
80.844694100,0x100,,
81.049668200,0x100,,
81.254687800,0x100,,
81.459817900,0x100,,
81.664720600,0x100,,
81.874745800,0x100,,
82.079746000,0x100,,
82.284752600,0x100,,
82.489778700,0x100,,
82.694798300,0x100,,
82.904804100,0x100,,
83.109817200,0x100,,
83.314823900,0x100,,
83.519836900,0x100,,
83.724856500,0x100,,
83.929954200,0x100,,
84.134856800,0x100,,
84.364918000,0x100,,
84.549882200,0x100,,
84.754940800,0x100,,
84.959934400,0x100,,
85.164954000,0x100,,
85.394976200,0x100,,
85.579966500,0x100,,
85.784986100,0x100,,
85.990103200,0x100,,
86.195129300,0x100,,
86.400135900,0x100,,
86.605168500,0x100,,
86.810155700,0x100,,
87.020174500,0x100,,
87.225181100,0x100,,
87.430194200,0x100,,
87.635207300,0x100,,
87.840233400,0x100,,
88.050245700,0x100,,
88.256318500,0x100,,
88.460291500,0x100,,
88.665304600,0x100,,
88.870298200,0x100,,
89.075317800,0x100,,
89.280337400,0x100,,
89.510353100,0x100,,
89.695317400,0x100,,
89.900356500,0x100,,
90.105382600,0x100,,
90.310389200,0x100,,
90.540398400,0x100,,
90.725447200,0x100,,
90.930440800,0x100,,
91.135447400,0x100,,
91.340460500,0x100,,
91.545473600,0x100,,
91.750590800,0x100,,
91.955629900,0x100,,
92.165616200,0x100,,
92.370635800,0x100,,
92.575649000,0x100,,
92.780662000,0x100,,
92.985681700,0x100,,
93.195694000,0x100,,
93.400707100,0x100,,
93.605726700,0x100,,
93.810726800,0x100,,
94.015739900,0x100,,
94.220753100,0x100,,
94.425798700,0x100,,
94.655794900,0x100,,
94.840798100,0x100,,
95.045791800,0x100,,
95.250830900,0x100,,
95.455824500,0x100,,
95.685827200,0x100,,
95.870856500,0x100,,
96.075967100,0x100,,
96.280895700,0x100,,
96.485895800,0x100,,
96.690908900,0x100,,
96.895954600,0x100,,
97.100948200,0x100,,
97.310954000,0x100,,
97.516077700,0x100,,
97.721077800,0x100,,
97.926103900,0x100,,
98.131117000,0x100,,
98.341142300,0x100,,
98.546136000,0x100,,
98.751162100,0x100,,
98.956175200,0x100,,
99.161181800,0x100,,
99.366188400,0x100,,
99.571234100,0x100,,
99.801262800,0x100,,
99.986233500,0x100,,
